% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.37	1	1	38	1	1	2	137
0.371	1	1	38	2	1	2	137
0.372	1	1	38	3	1	2	137
0.373	1	1	38	4	1	2	137
0.374	1	1	38	5	1	2	137
0.375	1	1	38	6	1	2	137
0.376	1	1	38	7	1	2	137
0.377	1	1	38	8	1	2	137
0.378	1	1	38	9	1	2	137
0.379	1	1	38	10	1	2	137
0.38	1	1	39	1	1	2	137
0.381	1	1	39	2	1	2	137
0.382	1	1	39	3	1	2	137
0.383	1	1	39	4	1	2	137
0.384	1	1	39	5	1	2	137
0.385	1	1	39	6	1	2	137
0.386	1	1	39	7	1	2	137
0.387	1	1	39	8	1	2	137
0.388	1	1	39	9	1	2	137
0.389	1	1	39	10	1	2	137
0.39	1	1	40	1	1	2	137
0.391	1	1	40	2	1	2	137
0.392	1	1	40	3	1	2	137
0.393	1	1	40	4	1	2	137
0.394	1	1	40	5	1	2	137
0.395	1	1	40	6	1	2	137
0.396	1	1	40	7	1	2	137
0.397	1	1	40	8	1	2	137
0.398	1	1	40	9	1	2	137
0.399	1	1	40	10	1	2	137
0.4	1	1	41	1	1	2	137
0.401	1	1	41	2	1	2	137
0.402	1	1	41	3	1	2	137
0.403	1	1	41	4	1	2	137
0.404	1	1	41	5	1	2	137
0.405	1	1	41	6	1	2	137
0.406	1	1	41	7	1	2	137
0.407	1	1	41	8	1	2	137
0.408	1	1	41	9	1	2	137
0.409	1	1	41	10	1	2	137
0.41	1	1	42	1	1	2	137
0.411	1	1	42	2	1	2	137
0.412	1	1	42	3	1	2	137
0.413	1	1	42	4	1	2	137
0.414	1	1	42	5	1	2	137
0.415	1	1	42	6	1	2	137
0.416	1	1	42	7	1	2	137
0.417	1	1	42	8	1	2	137
0.418	1	1	42	9	1	2	137
0.419	1	1	42	10	1	2	137
0.42	1	1	43	1	1	2	137
0.421	1	1	43	2	1	2	137
0.422	1	1	43	3	1	2	137
0.423	1	1	43	4	1	2	137
0.424	1	1	43	5	1	2	137
0.425	1	1	43	6	1	2	137
0.426	1	1	43	7	1	2	137
0.427	1	1	43	8	1	2	137
0.428	1	1	43	9	1	2	137
0.429	1	1	43	10	1	2	137
0.43	1	1	44	1	1	2	137
0.431	1	1	44	2	1	2	137
0.432	1	1	44	3	1	2	137
0.433	1	1	44	4	1	2	137
0.434	1	1	44	5	1	2	137
0.435	1	1	44	6	1	2	137
0.436	1	1	44	7	1	2	137
0.437	1	1	44	8	1	2	137
0.438	1	1	44	9	1	2	137
0.439	1	1	44	10	1	2	137
0.44	1	1	45	1	1	2	137
0.441	1	1	45	2	1	2	137
0.442	1	1	45	3	1	2	137
0.443	1	1	45	4	1	2	137
0.444	1	1	45	5	1	2	137
0.445	1	1	45	6	1	2	137
0.446	1	1	45	7	1	2	137
0.447	1	1	45	8	1	2	137
0.448	1	1	45	9	1	2	137
0.449	1	1	45	10	1	2	137
0.45	1	1	46	1	1	2	137
0.451	1	1	46	2	1	2	137
0.452	1	1	46	3	1	2	137
0.453	1	1	46	4	1	2	137
0.454	1	1	46	5	1	2	137
0.455	1	1	46	6	1	2	137
0.456	1	1	46	7	1	2	137
0.457	1	1	46	8	1	2	137
0.458	1	1	46	9	1	2	137
0.459	1	1	46	10	1	2	137
0.46	1	1	47	1	1	2	137
0.461	1	1	47	2	1	2	137
0.462	1	1	47	3	1	2	137
0.463	1	1	47	4	1	2	137
0.464	1	1	47	5	1	2	137
0.465	1	1	47	6	1	2	137
0.466	1	1	47	7	1	2	137
0.467	1	1	47	8	1	2	137
0.468	1	1	47	9	1	2	137
0.469	1	1	47	10	1	2	137
0.47	1	1	48	1	1	2	137
0.471	1	1	48	2	1	2	137
0.472	1	1	48	3	1	2	137
0.473	1	1	48	4	1	2	137
0.474	1	1	48	5	1	2	137
0.475	1	1	48	6	1	2	137
0.476	1	1	48	7	1	2	137
0.477	1	1	48	8	1	2	137
0.478	1	1	48	9	1	2	137
0.479	1	1	48	10	1	2	137
0.48	1	1	49	1	1	2	137
0.481	1	1	49	2	1	2	137
0.482	1	1	49	3	1	2	137
0.483	1	1	49	4	1	2	137
0.484	1	1	49	5	1	2	137
0.485	1	1	49	6	1	2	137
0.486	1	1	49	7	1	2	137
0.487	1	1	49	8	1	2	137
0.488	1	1	49	9	1	2	137
0.489	1	1	49	10	1	2	137
0.49	1	1	50	1	1	2	137
0.491	1	1	50	2	1	2	137
0.492	1	1	50	3	1	2	137
0.493	1	1	50	4	1	2	137
0.494	1	1	50	5	1	2	137
0.495	1	1	50	6	1	2	137
0.496	1	1	50	7	1	2	137
0.497	1	1	50	8	1	2	137
0.498	1	1	50	9	1	2	137
0.499	1	1	50	10	1	2	137
0.5	1	1	51	1	1	2	137
0.501	1	1	51	2	1	2	137
0.502	1	1	51	3	1	2	137
0.503	1	1	51	4	1	2	137
0.504	1	1	51	5	1	2	137
0.505	1	1	51	6	1	2	137
0.506	1	1	51	7	1	2	137
0.507	1	1	51	8	1	2	137
0.508	1	1	51	9	1	2	137
0.509	1	1	51	10	1	2	137
0.51	1	1	52	1	1	2	137
0.511	1	1	52	2	1	2	137
0.512	1	1	52	3	1	2	137
0.513	1	1	52	4	1	2	137
0.514	1	1	52	5	1	2	137
0.515	1	1	52	6	1	2	137
0.516	1	1	52	7	1	2	137
0.517	1	1	52	8	1	2	137
0.518	1	1	52	9	1	2	137
0.519	1	1	52	10	1	2	137
0.52	1	1	53	1	1	2	137
0.521	1	1	53	2	1	2	137
0.522	1	1	53	3	1	2	137
0.523	1	1	53	4	1	2	137
0.524	1	1	53	5	1	2	137
0.525	1	1	53	6	1	2	137
0.526	1	1	53	7	1	2	137
0.527	1	1	53	8	1	2	137
0.528	1	1	53	9	1	2	137
0.529	1	1	53	10	1	2	137
0.53	1	1	54	1	1	2	137
0.531	1	1	54	2	1	2	137
0.532	1	1	54	3	1	2	137
0.533	1	1	54	4	1	2	137
0.534	1	1	54	5	1	2	137
0.535	1	1	54	6	1	2	137
0.536	1	1	54	7	1	2	137
0.537	1	1	54	8	1	2	137
0.538	1	1	54	9	1	2	137
0.539	1	1	54	10	1	2	137
0.54	1	1	55	1	1	2	137
0.541	1	1	55	2	1	2	137
0.542	1	1	55	3	1	2	137
0.543	1	1	55	4	1	2	137
0.544	1	1	55	5	1	2	137
0.545	1	1	55	6	1	2	137
0.546	1	1	55	7	1	2	137
0.547	1	1	55	8	1	2	137
0.548	1	1	55	9	1	2	137
0.549	1	1	55	10	1	2	137
0.55	1	1	56	1	1	2	137
0.551	1	1	56	2	1	2	137
0.552	1	1	56	3	1	2	137
0.553	1	1	56	4	1	2	137
0.554	1	1	56	5	1	2	137
0.555	1	1	56	6	1	2	137
0.556	1	1	56	7	1	2	137
0.557	1	1	56	8	1	2	137
0.558	1	1	56	9	1	2	137
0.559	1	1	56	10	1	2	137
0.56	1	1	57	1	1	2	137
0.561	1	1	57	2	1	2	137
0.562	1	1	57	3	1	2	137
0.563	1	1	57	4	1	2	137
0.564	1	1	57	5	1	2	137
0.565	1	1	57	6	1	2	137
0.566	1	1	57	7	1	2	137
0.567	1	1	57	8	1	2	137
0.568	1	1	57	9	1	2	137
0.569	1	1	57	10	1	2	137
0.57	1	1	58	1	1	2	137
0.571	1	1	58	2	1	2	137
0.572	1	1	58	3	1	2	137
0.573	1	1	58	4	1	2	137
0.574	1	1	58	5	1	2	137
0.575	1	1	58	6	1	2	137
0.576	1	1	58	7	1	2	137
0.577	1	1	58	8	1	2	137
